case:concept:name,concept:name,Resource,Complete Timestamp,AMOUNT_REQ,label,lifecycle:transition,timesincemidnight,timesincelastevent,timesincecasestart,event_nr,month,weekday,hour,open_cases
173688,A_SUBMITTED,112,10/1/2011 1:38,20000,1,COMPLETE,98,0,0,1,10,5,1,1
173688,A_PARTLYSUBMITTED,112,10/1/2011 1:38,20000,1,COMPLETE,98,0.005566667,0.005566667,2,10,5,1,1
173688,A_PREACCEPTED,112,10/1/2011 1:39,20000,1,COMPLETE,99,0.883766667,0.889333333,3,10,5,1,1
173688,A_ACCEPTED,10862,10/1/2011 12:42,20000,1,COMPLETE,762,5.94785,663.9793667,6,10,5,12,10
173688,O_SELECTED,10862,10/1/2011 12:45,20000,1,COMPLETE,765,0,666.4116167,7,10,5,12,10
173688,A_FINALIZED,10862,10/1/2011 12:45,20000,1,COMPLETE,765,2.43225,666.4116167,8,10,5,12,10
173688,O_CREATED,10862,10/1/2011 12:45,20000,1,COMPLETE,765,0.032566667,666.4441833,9,10,5,12,10
173688,O_SENT,10862,10/1/2011 12:45,20000,1,COMPLETE,765,0.00305,666.4472333,10,10,5,12,10
173688,W_Completeren aanvraag,10862,10/1/2011 12:45,20000,1,COMPLETE,765,0.039383333,666.4895167,12,10,5,12,10
173688,W_Nabellen offertes,10862,10/1/2011 13:17,20000,1,COMPLETE,797,1.460566667,698.4063,14,10,5,13,11
173688,W_Nabellen offertes,10913,10/8/2011 17:32,20000,1,COMPLETE,1052,5.052766667,11033.27233,16,10,5,17,296
173688,O_SENT_BACK,11049,10/10/2011 12:33,20000,1,COMPLETE,753,0.686216667,13614.3187,18,10,0,12,348
173688,W_Nabellen offertes,11049,10/10/2011 12:33,20000,1,COMPLETE,753,0.020516667,13614.35408,20,10,0,12,348
173688,A_REGISTERED,10629,10/13/2011 11:37,20000,1,COMPLETE,697,0,17878.74467,22,10,3,11,414
173688,A_APPROVED,10629,10/13/2011 11:37,20000,1,COMPLETE,697,0,17878.74467,23,10,3,11,414
173688,O_ACCEPTED,10629,10/13/2011 11:37,20000,1,COMPLETE,697,0,17878.74467,24,10,3,11,414
173688,A_ACTIVATED,10629,10/13/2011 11:37,20000,1,COMPLETE,697,32.03835,17878.74467,25,10,3,11,414
173688,W_Valideren aanvraag,10629,10/13/2011 11:37,20000,1,COMPLETE,697,0.13,17878.87467,26,10,3,11,413
173796,A_SUBMITTED,112,10/1/2011 21:19,15000,0,COMPLETE,1279,0,0,1,10,5,21,27
173796,A_PARTLYSUBMITTED,112,10/1/2011 21:19,15000,0,COMPLETE,1279,0.008216667,0.008216667,2,10,5,21,27
173796,A_PREACCEPTED,112,10/1/2011 21:19,15000,0,COMPLETE,1279,0.6991,0.707316667,3,10,5,21,27
173796,W_Completeren aanvraag,11180,10/3/2011 10:32,15000,0,COMPLETE,632,2.3252,2233.116783,6,10,0,10,60
173796,A_ACCEPTED,11001,10/3/2011 12:07,15000,0,COMPLETE,727,6.3619,2328.40955,8,10,0,12,62
173796,A_FINALIZED,11001,10/3/2011 12:15,15000,0,COMPLETE,735,0,2336.69515,9,10,0,12,61
173796,O_SELECTED,11001,10/3/2011 12:15,15000,0,COMPLETE,735,8.2856,2336.69515,10,10,0,12,61
173796,O_CREATED,11001,10/3/2011 12:16,15000,0,COMPLETE,736,0.80785,2337.503,11,10,0,12,61
173796,O_SENT,11001,10/3/2011 12:16,15000,0,COMPLETE,736,0.000483333,2337.503483,12,10,0,12,61
173796,W_Completeren aanvraag,11001,10/3/2011 12:16,15000,0,COMPLETE,736,0.020966667,2337.52705,14,10,0,12,61
173796,W_Nabellen offertes,11201,10/10/2011 18:23,15000,0,COMPLETE,1103,0.02675,12784.25387,16,10,0,18,342
173796,A_CANCELLED,11201,10/10/2011 18:23,15000,0,COMPLETE,1103,0,12784.70285,18,10,0,18,342
173796,O_CANCELLED,11201,10/10/2011 18:23,15000,0,COMPLETE,1103,0.232716667,12784.70285,19,10,0,18,342
173796,W_Nabellen offertes,11201,10/10/2011 18:23,15000,0,COMPLETE,1103,0.0373,12784.74015,20,10,0,18,341
173844,A_SUBMITTED,112,10/2/2011 12:03,15500,1,COMPLETE,723,0,0,1,10,6,12,39
173844,A_PARTLYSUBMITTED,112,10/2/2011 12:03,15500,1,COMPLETE,723,0.00275,0.00275,2,10,6,12,39
173844,A_PREACCEPTED,112,10/2/2011 12:04,15500,1,COMPLETE,724,0.804383333,0.807133333,3,10,6,12,39
173844,W_Completeren aanvraag,11180,10/3/2011 11:11,15500,1,COMPLETE,671,1.696533333,1387.839967,6,10,0,11,58
